voice_filename,transcript,accent,gender,tone
voice_1.mp3,چرا این‌‌‌‌طور فکر می‌‌‌‌کنی؟,فارسی,male,question
voice_2.mp3, همیشه من و تو راجع به آن با هم صحبت کرده‌‌‌‌ایم,فارسی,male,normal
voice_3.mp3, دنیا در حال گذار به‌‌‌‌سمت پایداری است,فارسی,male,normal
voice_4.mp3,شاخصی که باید عملکرد تسلا را با آن اندازه بگیریم,فارسی,male,normal
voice_5.mp3,باید تعداد واقعاً غیرقابل‌‌‌‌تصوری باتری تولید کنیم,فارسی,male,normal
voice_6.mp3,انرژی پایدار در وهلۀ اول یعنی انرژی خورشیدی و بادی,فارسی,male,normal
voice_7.mp3,در اینجا مسئله تقاضای مصرف‌‌‌‌کننده نیست,فارسی,male,normal
voice_8.mp3,فکر می‌‌‌‌کنی چقدر تحقق این ایده را جلو انداخته‌‌‌‌ای,فارسی,male,normal
voice_9.mp3,دستیابی به تولید با حجم بالا و داشتن جریان وجوه نقدِ آزاد,فارسی,male,normal
voice_10.mp3,ما صدها شرکت استارتاپ خودرویی داشته‌‌‌‌ایم,فارسی,male,normal
voice_11.mp3,رسیدن به تولید انبوه و زنده‌‌‌‌ماندن بیش‌‌‌‌از‌‌‌‌اندازه دشوار است,فارسی,male,normal
voice_12.mp3,حرف شما درست است,فارسی,male,normal
voice_13.mp3,بدون معطلی بررسی‌هایش را از قرون‌وسطا شروع می‌کند,فارسی,male,normal
voice_14.mp3,از بارهای گران پرهیز کنید,فارسی,male,normal
voice_15.mp3,آن‌ها را از خود دور کنید,فارسی,male,normal
voice_16.mp3,تشویشِ بسیار کالبد ما را می‌خشکاند,فارسی,male,normal
voice_17.mp3,نیروی حیاتی ما را زایل می‌کند,فارسی,male,normal
voice_18.mp3,پنج‌شنبۀ قبل برای من همین اتفاق افتاد,فارسی,male,normal
voice_19.mp3,نُه قرن و سیصد صفحۀ بعد,فارسی,male,normal
voice_20.mp3,در بخش پایانی که سرشار از یأس است,فارسی,male,normal
voice_21.mp3,نتیجۀ این کار قوز بالا قوزی بسیار ملال‌آور می‌شود,فارسی,male,normal
voice_22.mp3,احساس خستگی از احساس خستگی,فارسی,male,normal
voice_23.mp3,جغرافی هم مثل وقایع‌نگاری‌اش است,فارسی,male,normal
voice_24.mp3,تمام جهان را برای جست‌وجوی ردپای خستگی دارد,فارسی,male,normal
voice_25.mp3,مصمم است تا جایی که می‌شود فرانسوی بماند,فارسی,male,normal
voice_26.mp3,غالباً مجدانه اصرار دارد که در محیط اطراف خود باقی بماند,فارسی,male,normal
voice_27.mp3,ورزش سخت نوشیدن شراب سنگین و جروبحث,فارسی,male,normal
voice_28.mp3,گاهی این روحیهٔ فرانسوی زینت‌افزای کلام می‌شود,فارسی,male,normal
voice_29.mp3,زینتی ظریف و دل‌چسب,فارسی,male,normal
voice_30.mp3,مسئول رسیدگی به تصادفی هستند,فارسی,male,normal
voice_31.mp3,محققان رویکردی محتاطانه دارند,فارسی,male,normal
voice_32.mp3,چیزی که ما در این موقعیت نیاز داریم,فارسی,male,normal
voice_33.mp3,واقعاً مایۀ تعجب است,فارسی,male,normal
voice_34.mp3,مصرانه همه‌چیز را اندازه‌گیری و دسته‌بندی می‌کند,فارسی,male,normal
voice_35.mp3,با استفاده از ابزارهای تشخیصی آن دوران,فارسی,male,normal
voice_36.mp3,توان ریه را با اسپیرومتر اندازه‌گیری می‌کردند,فارسی,male,normal
voice_37.mp3,ریشه‌های عمیقی در سنت روشنگری دارد,فارسی,male,normal
voice_38.mp3,سوار بر اسب پیموده بود,فارسی,male,normal
voice_39.mp3,اصل محرک کتاب درواقع این است,فارسی,male,normal
voice_40.mp3,بشریت یعنی مسابقه,فارسی,male,normal
voice_41.mp3,هر نسلی از نوآورانِ آن تلاش می‌کنند,فارسی,male,normal
voice_42.mp3,پیاده‌روی انسان را در مسیر پیشرفت,فارسی,male,normal
voice_43.mp3,راستش تمام این‌ها طاقت‌فرساست,فارسی,male,normal
voice_44.mp3,در ابتدا مشکلْ دفع مایعات از بدن بود,فارسی,male,normal
voice_45.mp3,خشکی بدن و کوفتگی نشانه‌های زحمت بیش‌ازحد بودند,فارسی,male,normal
voice_46.mp3,چطور باید جلوی تعریق را می‌گرفتی,فارسی,male,normal
voice_47.mp3,وقتی حرف از شوالیه‌هایی می‌شود که لباسشان جرینگ جرینگ صدا می‌دهد,فارسی,male,normal
voice_48.mp3,زیر فشار زره‌ها خم شده‌اند,فارسی,male,normal
voice_49.mp3,با چرخش تبر دل و رودۀ یکدیگر را بیرون می‌کشند,فارسی,male,normal
voice_50.mp3,به جزئی‌ترین مستندات دسترسی دارد,فارسی,male,normal
voice_51.mp3,نتیجهٔ تطهیرکنندهٔ سفرهای زیارتی,فارسی,male,normal
voice_52.mp3,با شتاب جلو می‌رود و پشت سرش را هم نگاه نمی‌کند,فارسی,male,normal
voice_53.mp3,انگار تصویر زائر منسوخ‌تر از آن است که خودش را بیشتر از این معطل کند,فارسی,male,normal
voice_54.mp3,روایت مسیحی خستگی و تجدید‌قوا همچنان باقی می‌ماند,فارسی,male,normal
voice_55.mp3,نسبت به تعالیم مذهبی بی‌تفاوت است,فارسی,male,normal
voice_56.mp3,فقط برای حل مسئلهٔ ملال به آن‌ها می‌پردازد,فارسی,male,normal
voice_57.mp3,در قرن سیزدهم به کسانی که قصد سفر دارند توصیه می‌کند,فارسی,male,normal
voice_58.mp3,میل دیوانه‌وار ما به اکسیرهای غذایی ابداً هوسی گذرا نیست,فارسی,male,normal
voice_59.mp3,برخلاف تصورتان متکی به باور خرافی احمقانه‌ای نیست,فارسی,male,normal
voice_60.mp3,این اظهارات شوخی‌های زشتی از زبانِ فایده‌گرایی شیطان‌صفت است,فارسی,male,normal
voice_61.mp3,به پای برخی بچه‌ها چکمه‌های فلزی بسیار بلند می‌پوشاندند,فارسی,male,normal
voice_62.mp3,مانع از زانوزدن آن‌ها در اثر خستگی شود,فارسی,male,normal
voice_63.mp3,چنین تحقیری را فسخ کردند عمیقاً سپاسگزار باشد,فارسی,male,normal
voice_64.mp3,خوانندۀ امروزی شگفت‌زده خواهد شد,فارسی,male,normal
voice_65.mp3,در کتابی که با این‌همه تفصیل به کار اجباری می‌پردازد,فارسی,male,normal
voice_66.mp3,انجام چنین کاری به این دلیل که موجود دیگری صاحب توست,فارسی,male,normal
voice_67.mp3,با قرائت‌هایی از خستگی مواجه می‌شد که در مرز عنان‌گسیختگی هستند,فارسی,male,normal
voice_68.mp3,مردمی که به بردگی گرفته شده‌اند,فارسی,male,normal
voice_69.mp3,با مشکل کمبود رختخواب مواجه نیستند,فارسی,male,normal
voice_70.mp3,به‌ندرت شما را با چنین تصویر خیره‌کننده‌ای مواجه می‌کند,فارسی,male,normal
voice_71.mp3,چراکه تحقیقاتش او را به قرن بیستم و به فصل‌هایی با عنوان می‌رساند,فارسی,male,normal
voice_72.mp3,بیش از صد تُن زغال‌سنگ را در یک شیفت شب استخراج کرد,فارسی,male,normal
voice_73.mp3,از سربازان متفقین و آلمانی باخبر می‌شویم که به آن‌ها آمفتامین می‌دادند,فارسی,male,normal
voice_74.mp3,فقط دو صفحه از این اثر طولانی را به خود اختصاص داده است,فارسی,male,normal
voice_75.mp3,البته ممکن است بابت این لطف از نویسنده تشکر هم بکنیم,فارسی,male,normal
voice_76.mp3,با وجود فهرست بلندبالای تجارب دشوارِ جسمی,فارسی,male,normal
voice_77.mp3,گزارش‌هایی که نه از سنگرها بلکه از کارخانه‌ها و دفاتر اداری جمع‌آوری شده‌اند,فارسی,male,normal
voice_78.mp3,گویای فروپاشی درماندگی و حبسی است که نیاز به میله‌های زندان ندارد,فارسی,male,normal
voice_79.mp3,ذهن خسته ممکن است نسبت به بدنی که در آن ساکن است,فارسی,male,normal
voice_80.mp3,جلوی این آرزو را گرفت که ای کاش تاریخچۀ خستگی در آمریکا ادامه پیدا می‌کرد,فارسی,male,normal
voice_81.mp3,ناشی از شتاب مستمر و فشاری است که آمریکایی‌ها تحت آن زندگی می‌کنند,فارسی,male,normal
voice_82.mp3, تمام کاری که از عهدۀ آدم برمی‌آید سیخونک گاه‌گاه تردید است,فارسی,male,normal
voice_83.mp3,انگار کسی آن را از روی کاناپه خطاب به روان‌درمانگری دلسوز می‌گوید,فارسی,male,normal
voice_84.mp3,بشر درحالی‌که با انگشتانش روی میز آشپزخانه ضرب گرفته بود,فارسی,male,normal
voice_85.mp3,بسیاری از خوانندگان کاملاً از این تغییرات سریع صحنه راضی هستند,فارسی,male,normal
voice_86.mp3,ما در هنگام راه‌رفتن روی شیب نسبت به سطح صاف چقدر انرژی مصرف می‌کنیم,فارسی,male,normal
voice_87.mp3,بعد از کلاس بمان و روی منطقت کار کن,فارسی,male,normal
voice_88.mp3,مثل جامعه‌شناسان مشتاق زحمت کمی‌کردن یافته‌های خود را به عهده بگیرند,فارسی,male,normal
voice_89.mp3,جوِ تعاملات خودمانی است که اکثر ما در آن زندگی می‌کنیم,فارسی,male,normal
voice_90.mp3,دائم از طریق تعامل ما با دیگران ظهور پیدا می‌کند,فارسی,male,normal
voice_91.mp3,توماس که تقریباً مثل ویگارلو مشتاق است,فارسی,male,normal
voice_92.mp3,توانایی درک فهم اینکه باید به اندازۀ کافی محبت کند را ندارد,فارسی,male,normal
voice_93.mp3,این کارها چه مهم باشند چه نه مستلزم هزینه است,فارسی,male,normal
voice_94.mp3,شکایت او یک نوع تقدیر بود,فارسی,male,normal
voice_95.mp3,از عشاقی که از کسالت آرامش‌بخش عیاشی لذت می‌برند,فارسی,male,normal
voice_96.mp3,او می‌خواهد با یونجه خشک‌کردن خسته شود,فارسی,male,normal
voice_97.mp3,ماده ی تاریک گونه ای از ماده است که فرضیه وجود آن در اختر شناسی و کیهان شناسی ارائه شده است.,فارسی,male,normal
voice_98.mp3, تا پدیده هایی را توضیح دهد که به نظر می رسد ناشی از وجود میزان خاصی از جرم باشند که از جرم موجود مشاهده شده در جهان بیشتر است.,فارسی,male,normal
voice_99.mp3,هر چه قدر هم بد كرد و خطا های زيادی مرتكب شد ولی آدم خوش قلبی بود.,فارسی,male,normal
voice_100.mp3,يک كتاب خوب به من بده و يک روزنامه ی خوب و منو جلوی يک آتيش گرم بنشون اون وقت ديگر هيچی نمی خواهم.,فارسی,male,imperative
voice_101.mp3,کامپیوتر کوانتومی ماشینی است که از پدیده ها و قوانین مکانیک کوانتوم برای رایانش استفاده می کند.,فارسی,male,normal
voice_102.mp3,رایانه های کوانتومی با رایانه های فعلی که با ترانزیستور ها کار می کنند تفاوت اساسی دارند.,فارسی,male,normal
voice_103.mp3,کشور های چین و آمریکا در زمینه ی توسعه ی رایانه ی کوانتومی پیشگام هستند.,فارسی,male,normal
voice_104.mp3,یک کتاب بزرگ و مشکی در کتاب خانه ی قصر,فارسی,male,incomplete
voice_105.mp3,مایکل می توانست آن توپ را,فارسی,male,incomplete
voice_106.mp3,عجب اجرای عالی ای بود!,فارسی,male,exclamatory
voice_107.mp3,شما چه صدای زیبا ای دارید!,فارسی,male,exclamatory
voice_108.mp3,غذا ی دیروز واقعا حالم را بد کرد!,فارسی,male,exclamatory
voice_109.mp3,چگونه می توانی انقدر خوب گیتار بنوازی؟,فارسی,male,question
voice_110.mp3,می توانی در حل این نمونه سوال به من کمک کنی؟,فارسی,male,question
voice_111.mp3,فیلم شرک چه ساعتی شروع می شود؟,فارسی,male,question
voice_112.mp3,می دانی عینک مرد عنکبوتی کجاست؟,فارسی,male,question
voice_113.mp3,چرا امروز آسمان انقدر آبی است؟,فارسی,male,incomplete
voice_114.mp3,وقتی به فروشگاه رسیدی فراموش نکن که,فارسی,male,incomplete
voice_115.mp3,قرار بود تا ساعت سه بعد از ظهر برسند اما,فارسی,male,incomplete
voice_116.mp3,داشتم کتاب آرزو های بزرگ را می خواندم که ناگهان.,فارسی,male,imperative
voice_117.mp3,وقتی به شرکت رسیدی حتما با مهندس تماس بگیر.,فارسی,male,imperative
voice_118.mp3,هر کجا که می روی حتما کلید خانه را با خود ببر.,فارسی,male,imperative
voice_119.mp3,پس شیطان به او گفت که ماهیان را به نزد سلطان ببر تا من و تو را بی نیاز سازد.,فارسی,male,imperative
voice_120.mp3,ای ماهی آیا در عهد قدیم و پیمان درست خود هستی؟,فارسی,male,question
voice_121.mp3,نسخه ی اولیه ی این نقاشی یک آرایشگاه را نشان می دهد با مشتری ها ای از مذهب ها و نژاد های مختلف که منتظر هستند تا نوبت شان شود.,فارسی,male,normal
voice_122.mp3,سالوادور دالی همواره بر ریشه ی عرب خود تاکید داشت و ادعا می کرد که اجداد او به نسل مورو ها باز می گردد.,فارسی,male,normal
voice_123.mp3,دالی به یک اقامتگاه دانشجو ای در مادرید نقل مکان کرد و در آنجا در مدرسه ی هنر های زیبا شروع به تحصیل کرد.,فارسی,male,normal
voice_124.mp3,آیا نمی توان از این آهن یک شمشیر محکم درست کرد؟,فارسی,male,question
voice_125.mp3,مگر می شود که یک آدم با این همه تجربه ای که دارد نتواند از پس این مشکل به این سادگی بر آید؟,فارسی,male,question
voice_126.mp3,مواظب باش یک عنکبوت بزرگ روی دیوار است!,فارسی,male,exclamatory
voice_127.mp3,این بهترین روز زندگی من است که تونستم تو را در این جا ببینم!,فارسی,male,exclamatory
voice_128.mp3,بالاخره تونستم این پروژه ی سخت را با موفقیت به پایان برسانم!,فارسی,male,exclamatory
voice_129.mp3,باورم نمی شود که بازی را بردیم!,فارسی,male,exclamatory
voice_130.mp3,من هیچ وقت در زندگی ام یک کشور به این زیبا ای ندیده بوده ام!,فارسی,male,exclamatory
voice_131.mp3,در حدود شصت سال پیش گوردون مور اظهار کرد که توان رایانه ها هر دو سال دو برابر خواهد شد.,فارسی,male,normal
voice_132.mp3,در تمام این سال ها تلاش عمده در جهت افزایش قدرت و سرعت عملیاتی در کنار کوچک سازی زیر ساخت ها و اجزای بنیادی کامپیوتر بوده است.,فارسی,male,normal
voice_133.mp3,هر سیستم محاسباتی دارای یک پایه ی اطلاعاتی است که نماینده ی کوچک ترین میزان اطلاعات قابل نمایش است.,فارسی,male,normal
voice_134.mp3,نروژ در جنگ جهانی اول بی طرف بود اما این جنگ خسارت های سنگینی به صنعت کشتی رانی آن وارد کرد.,فارسی,male,normal
voice_135.mp3,نروژ در جنگ جهانی دوم نیز اعلام بی طرفی کرد ولی یک سال پس از آغاز جنگ به دست نیرو های آلمانی اشغال شد.,فارسی,male,normal
voice_136.mp3,نخست وزیر نروژ در عمل قدرت اجرا ای را در دست دارد.,فارسی,male,normal
voice_137.mp3,کشور ژاپن در شرق آسیا قرار دارد و به وسیله ی دریا ای با همین نام یعنی دریا ی ژاپن از ساحل شرقی قاره ی آسیا جدا شده است.,فارسی,male,normal
voice_138.mp3,کشت برنج و استفاده از ابزار فلزی حداقل از سیصد سال قبل از میلاد مسیح در ژاپن آغاز شد.,فارسی,male,normal
voice_139.mp3,اگر بتوانید به گذشته سفر کنید تا یک رویداد تاریخی را از نزدیک ببینید کدام لحظه را انتخاب می کنید و چرا؟,فارسی,male,question
voice_140.mp3,چه می شود اگر ستاره ها تنها اجرام آسمانی نباشند بلکه دروازه ها ای به جهان های دیگر باشند؟,فارسی,male,question
voice_141.mp3,به عنوان یک جهان دیجیتال و چیزی که زندگی بشر را از همه نظر عوض کرده عجب چیزی هست این اینترنت!,فارسی,male,exclamatory
voice_142.mp3,لحظه ای وقت بگذار و از زیبایی های کوچک در اطراف خودت نهایت لذت را ببر.,فارسی,male,imperative
voice_143.mp3,به یاد داشته باش تا به ستارگان نگاه کنی نه به پایین و سعی کن معنی آن چه را که می بینی درک کنی و درباره ی چیزی که باعث وجود جهان می‌شود تعجب کنی.,فارسی,male,imperative
voice_144.mp3,وقتی وارد کتاب خانه ی قدیمی شدم هوا پر از بو ی کتاب های کهنه بود و قصه‌هایی از اساطیر فراموش شده که,فارسی,male,incomplete
voice_145.mp3,در میانه ی بحث داغ درباره ی وجود حیات فرا زمینی ها یک صدا بالاتر از بقیه بلند شد و گفت که اگر ما,فارسی,male,incomplete
voice_146.mp3,اما تنها زمانی که رودی آن جا رو نگاه می کرد می توانست تا,فارسی,male,incomplete
voice_147.mp3,اگر چه ناهیدا توسط مادرش رها شده بود ولی حقیقت آن گونه که درخت حیات می گفت جور دیگری بود.,فارسی,male,normal
voice_148.mp3,مهتاب در مسیر بلند ترین قله ی هستی به او گفت تا به جای فکر به پایان مسیر از خود مسیر لذت ببرد.,فارسی,male,imperative
voice_149.mp3," زندگی یک سفر است، از آن لذت ببریم.",فارسی,male,normal
voice_150.mp3,آرامش در سادگی پنهان است.,فارسی,male,normal
voice_151.mp3, رویاها برای تحقق آمده‌اند پس باید تلاش کنیم.,فارسی,male,normal
voice_152.mp3,خوشبختی در فراگیری قدرشناسی است.,فارسی,male,normal
voice_153.mp3,صبر و استقامت در همه چیز موثر است.,فارسی,male,normal
voice_154.mp3,دوستان واقعی گنجی بی‌قیمت اند.,فارسی,male,normal
voice_155.mp3,اندیشه‌های مثبت به زندگی رنگ می‌بخشد.,فارسی,male,normal
voice_156.mp3, خواندن کتاب‌ها پنجره‌ای به دنیای جدید است.,فارسی,male,normal
voice_157.mp3,تجربه‌های جدید زندگی را پرکرده و جذاب می‌کند.,فارسی,male,normal
voice_158.mp3,موفقیت از پشتکار و تلاش مستمر ناشی می‌شود.,فارسی,male,normal
voice_159.mp3,دوستی بهترین هدیه در زندگی است.,فارسی,male,normal
voice_160.mp3,زندگی یک ماجراجویی بی‌پایان است.,فارسی,male,normal
voice_161.mp3,"در خنده‌ها، خوشبختی پنهان است.",فارسی,male,normal
voice_162.mp3,"بهترین راه برای پیشرفت، اقدام است.",فارسی,male,normal
voice_163.mp3,"تغییر یک فرصت، نه تهدید است.",فارسی,male,normal
voice_164.mp3,شکست‌ها در واقع درس‌هایی برای پیشرفتند.,فارسی,male,normal
voice_165.mp3,محدودیت‌ها فقط در ذهن وجود دارند.,فارسی,male,normal
voice_166.mp3,عشق یعنی به اشتراک گذاشتن لحظات.,فارسی,male,normal
voice_167.mp3,خلاقیت نوری است که زندگی را روشن می‌کند.,فارسی,male,normal
voice_168.mp3,هنر ابزاری برای بیان درون انسان است.,فارسی,male,normal
voice_169.mp3,". زمان گذشته را رها کنید، زندگی را در حال حاضر بسازید",فارسی,male,imperative
voice_170.mp3,به خودتان ایمان داشته باشید و به اهدافتان پایبند باشید.,فارسی,male,imperative
voice_171.mp3,.تغییر را به عنوان فرصتی برای رشد بپذیرید,فارسی,male,imperative
voice_172.mp3,گذشته را زنده نگه دارید و آینده را با امید سازماندهی کنید.,فارسی,male,imperative
voice_173.mp3,آرزوها را به واقعیت تبدیل کنید.,فارسی,male,imperative
voice_174.mp3,"همیشه به آسمان نگاه کنید، اما پاهایتان را روی زمین نگه دارید.",فارسی,male,imperative
voice_175.mp3,از زندگی لذت ببرید و لحظه‌ها را ارزشمند بدانید.,فارسی,male,imperative
voice_176.mp3,امید به آینده را از دست ندهید.,فارسی,male,imperative
voice_177.mp3,همیشه به رویای‌هایت پایبند باش.,فارسی,male,imperative
voice_178.mp3,خودت را بشناس و به خودت اعتماد کن.,فارسی,male,imperative
voice_179.mp3,"زندگی کوتاه است، از آن لذت ببرید.",فارسی,male,imperative
voice_180.mp3,همیشه به خوبی‌ها در زندگیت توجه کن.,فارسی,male,imperative
voice_181.mp3,گذشته را رها کن و زندگی کن.,فارسی,male,imperative
voice_182.mp3,دستورالعمل‌ها را به دقت دنبال کنید.,فارسی,male,imperative
voice_183.mp3,با دقت و آرامش رانندگی کنید.,فارسی,male,imperative
voice_184.mp3,متن زیر را با آرامش و شمرده شمرده بخوانید.,فارسی,male,imperative
